ds,LGBMRegressor_Lag
2026-01-01,122.518236075425
2026-01-02,119.50889929371806
2026-01-03,111.07271740241002
2026-01-04,105.2300087321318
2026-01-05,114.25434886109272
2026-01-06,91.71041402611849
2026-01-07,105.8075597339744
2026-01-08,112.83200869381864
2026-01-09,116.8940691391608
2026-01-10,114.90759186192253
2026-01-11,107.8467612002988
2026-01-12,118.01552400785278
2026-01-13,117.47902068225832
2026-01-14,111.548899159135
2026-01-15,103.22523361203474
2026-01-16,99.32619983086153
2026-01-17,94.54278437157656
2026-01-18,88.84615228095451
2026-01-19,112.4222401851766
2026-01-20,116.69095159364451
2026-01-21,121.53333753519586
2026-01-22,114.52525806463169
2026-01-23,107.18793765056076
2026-01-24,95.11195444919004
2026-01-25,80.15370966421273
2026-01-26,111.67836116135194
2026-01-27,109.67159288332728
2026-01-28,111.10754708444333
2026-01-29,112.6366012640605
2026-01-30,116.48269858339626
2026-01-31,101.25274477302764
