,Model,Family,Frequency,MAE,RMSE,MAPE
2,HistoricAverage,base,D,26.302547483991223,33.42387736784404,0.23085766032277102
0,SeasonalNaive,base,D,23.165649240096826,27.097775542861083,0.27253113320076683
3,Structural,base,D,24.82610972193129,29.340445157826686,0.2961573694438736
1,RWD,base,D,27.778034850230412,31.998016719353267,0.33064682017724506
