,Model,Family,Frequency,MAE,RMSE,MAPE
0,SES,stat,MS,24.580392597874567,29.244292638121394,0.29506147027998175
3,AutoETS,stat,MS,31.181128148444703,36.68775460675782,0.37864421040236357
2,HoltWinters,stat,MS,35.12930164552687,39.79615557777999,0.40627556967923684
1,Holt,stat,MS,36.014644936534616,41.11449228085602,0.43145586527500984
