,Model,Family,Frequency,MAE,RMSE,MAPE
3,LGBMRegressor_Lag,ml,D,16.87542801374111,21.55513503570295,0.15608638662947538
4,LinearRegression,ml,D,26.217515534644217,35.93548395429037,0.2280999890203124
0,LinearRegression_Lag,ml,D,26.480136473886706,32.78011612205057,0.23864395102479477
6,RandomForestRegressor,ml,D,27.287968846928365,34.92410317016277,0.2479141652227214
7,LGBMRegressor,ml,D,27.302582424214435,34.9585944373241,0.24803755531751726
1,HuberRegressor_Lag,ml,D,38.881486672642815,43.40751438149812,0.3752128661102289
2,RandomForestRegressor_Lag,ml,D,39.63253613143502,45.00614796255032,0.38681090140655194
5,HuberRegressor,ml,D,49.411825465572754,55.036050957422276,0.46515070123257024
