,Model,Family,Frequency,MAE,RMSE,MAPE
3,LSTM_Lag,dl,MS,144.73798303204862,191.3593128684474,1.4728921062151885
2,RNN_Lag,dl,MS,178.67308803204858,241.829081375913,1.819342108868657
0,NHITS_Lag,dl,MS,287.86344696062,365.52909825946676,2.9894112703546765
7,LSTM,dl,MS,324.83723178204855,395.394369412258,3.438941212024129
4,NHITS,dl,MS,847.6679811272867,1080.1731055316636,8.917057887748067
1,KAN_Lag,dl,MS,896.6668395143834,1136.8467320862503,9.348635995440352
6,RNN,dl,MS,903.8400461272867,1078.864261284727,9.78061362238644
5,KAN,dl,MS,1647.9158586810502,2039.0540890852362,17.353953669385973
