,Model,Family,Frequency,MAE,RMSE,MAPE
2,RNN_Lag,dl,D,23.404211039872806,26.88769369183249,0.27415835213670553
3,LSTM_Lag,dl,D,29.312687336036046,33.30751671753111,0.34550540613862074
7,LSTM,dl,D,39.22130421506191,43.74984581683463,0.4177137260691383
5,KAN,dl,D,47.30265300430923,53.45799081849887,0.5412002164181037
0,NHITS_Lag,dl,D,92.88308844544467,129.92015920301196,0.9129553848119111
6,RNN,dl,D,97.51532206129845,109.35426988210514,1.1093780576919812
1,KAN_Lag,dl,D,120.70063406671962,149.29809780781073,1.2784065934634339
4,NHITS,dl,D,196.15589612011823,235.6787625869484,2.037250606391805
