unique_id,ds,y
Austria,2015-01-01,29.935161290322572
Austria,2015-02-01,36.69499999999999
Austria,2015-03-01,31.297419354838713
Austria,2015-04-01,29.778333333333332
Austria,2015-05-01,25.329677419354834
Austria,2015-06-01,30.109000000000005
Austria,2015-07-01,34.979677419354836
Austria,2015-08-01,31.612903225806456
Austria,2015-09-01,31.88866666666667
Austria,2015-10-01,39.36870967741935
Austria,2015-11-01,32.38133333333334
Austria,2015-12-01,27.786129032258064
Austria,2016-01-01,29.026129032258073
Austria,2016-02-01,21.99793103448276
Austria,2016-03-01,24.29870967741935
Austria,2016-04-01,24.21066666666666
Austria,2016-05-01,22.55096774193548
Austria,2016-06-01,27.705
Austria,2016-07-01,27.181290322580644
Austria,2016-08-01,27.181612903225805
Austria,2016-09-01,30.510666666666676
Austria,2016-10-01,37.14129032258065
Austria,2016-11-01,38.21366666666667
Austria,2016-12-01,37.47064516129033
Austria,2017-01-01,52.40612903225806
Austria,2017-02-01,39.68035714285714
Austria,2017-03-01,31.692903225806454
Austria,2017-04-01,28.720999999999997
Austria,2017-05-01,30.60935483870968
Austria,2017-06-01,30.00433333333332
Austria,2017-07-01,33.00580645161291
Austria,2017-08-01,30.855161290322588
Austria,2017-09-01,34.297666666666665
Austria,2017-10-01,28.289032258064516
Austria,2017-11-01,40.37966666666667
Austria,2017-12-01,33.07806451612903
Austria,2018-01-01,29.50161290322581
Austria,2018-02-01,40.1225
Austria,2018-03-01,37.35967741935484
Austria,2018-04-01,33.70233333333333
Austria,2018-05-01,34.55129032258064
Austria,2018-06-01,38.919
Austria,2018-07-01,42.517741935483876
Austria,2018-08-01,45.830000000000005
Austria,2018-09-01,45.13300000000001
Austria,2018-10-01,48.545483870967736
Austria,2018-11-01,48.633666666666656
Austria,2018-12-01,45.88774193548387
Austria,2019-01-01,56.67903225806452
Austria,2019-02-01,46.377142857142864
Austria,2019-03-01,33.14774193548388
Austria,2019-04-01,38.24833333333333
Austria,2019-05-01,38.25935483870968
Austria,2019-06-01,33.87833333333334
Austria,2019-07-01,39.82709677419354
Austria,2019-08-01,37.405483870967736
Austria,2019-09-01,37.84833333333334
Austria,2019-10-01,39.208709677419364
Austria,2019-11-01,42.69166666666667
Austria,2019-12-01,38.07258064516129
Austria,2020-01-01,40.50516129032258
Austria,2020-02-01,29.313793103448273
Austria,2020-03-01,24.907096774193544
Austria,2020-04-01,18.858999999999998
Austria,2020-05-01,17.87903225806452
Austria,2020-06-01,26.247000000000003
Austria,2020-07-01,32.31677419354839
Austria,2020-08-01,35.32870967741935
Austria,2020-09-01,45.182
Austria,2020-10-01,35.55451612903226
Austria,2020-11-01,40.64766666666665
Austria,2020-12-01,50.34741935483871
Austria,2021-01-01,57.718387096774194
Austria,2021-02-01,50.677857142857135
Austria,2021-03-01,53.314838709677424
Austria,2021-04-01,60.94033333333333
Austria,2021-05-01,55.52193548387095
Austria,2021-06-01,74.29333333333334
Austria,2021-07-01,83.60967741935482
Austria,2021-08-01,82.57064516129033
Austria,2021-09-01,135.10600000000002
Austria,2021-10-01,171.83129032258063
Austria,2021-11-01,206.52100000000002
Austria,2021-12-01,259.0770967741935
Austria,2022-01-01,190.87774193548384
Austria,2022-02-01,167.9389285714285
Austria,2022-03-01,286.5987096774193
Austria,2022-04-01,190.67100000000002
Austria,2022-05-01,184.94967741935483
Austria,2022-06-01,227.51066666666668
Austria,2022-07-01,361.7451612903225
Austria,2022-08-01,488.2683870967741
Austria,2022-09-01,396.3246666666667
Austria,2022-10-01,176.50032258064516
Austria,2022-11-01,211.78633333333337
Austria,2022-12-01,266.0367741935483
Austria,2023-01-01,143.56387096774196
Austria,2023-02-01,144.9003571428571
Austria,2023-03-01,113.22741935483872
Austria,2023-04-01,105.98133333333331
Austria,2023-05-01,81.79709677419356
Austria,2023-06-01,93.79799999999999
Austria,2023-07-01,84.28967741935486
Austria,2023-08-01,92.70999999999998
Austria,2023-09-01,101.40033333333334
Austria,2023-10-01,99.34870967741934
Austria,2023-11-01,93.49066666666664
Austria,2023-12-01,74.16387096774193
Austria,2024-01-01,80.59709677419355
Austria,2024-02-01,65.4144827586207
Austria,2024-03-01,62.858709677419355
Austria,2024-04-01,58.864999999999995
Austria,2024-05-01,64.17064516129031
Austria,2024-06-01,68.32
Austria,2024-07-01,63.65935483870967
Austria,2024-08-01,84.47709677419356
Austria,2024-09-01,82.40066666666667
Austria,2024-10-01,85.35354838709675
Austria,2024-11-01,130.20566666666664
Austria,2024-12-01,127.85870967741938
