unique_id,ds,y
Austria,2015-06-30,35.63
Austria,2015-07-01,33.42
Austria,2015-07-02,34.02
Austria,2015-07-03,45.14
Austria,2015-07-04,33.25
Austria,2015-07-05,28.0
Austria,2015-07-06,38.69
Austria,2015-07-07,47.51
Austria,2015-07-08,29.37
Austria,2015-07-09,28.8
Austria,2015-07-10,33.18
Austria,2015-07-11,32.64
Austria,2015-07-12,27.74
Austria,2015-07-13,40.97
Austria,2015-07-14,42.38
Austria,2015-07-15,47.61
Austria,2015-07-16,45.38
Austria,2015-07-17,38.41
Austria,2015-07-18,37.48
Austria,2015-07-19,28.68
Austria,2015-07-20,42.88
Austria,2015-07-21,45.61
Austria,2015-07-22,46.54
Austria,2015-07-23,47.47
Austria,2015-07-24,43.98
Austria,2015-07-25,13.85
Austria,2015-07-26,13.17
Austria,2015-07-27,30.68
Austria,2015-07-28,24.75
Austria,2015-07-29,27.04
Austria,2015-07-30,25.15
Austria,2015-07-31,30.58
Austria,2015-08-01,21.75
Austria,2015-08-02,17.58
Austria,2015-08-03,29.46
Austria,2015-08-04,33.47
Austria,2015-08-05,34.76
Austria,2015-08-06,34.48
Austria,2015-08-07,34.2
Austria,2015-08-08,28.02
Austria,2015-08-09,27.21
Austria,2015-08-10,34.36
Austria,2015-08-11,38.78
Austria,2015-08-12,37.53
Austria,2015-08-13,33.8
Austria,2015-08-14,30.97
Austria,2015-08-15,32.42
Austria,2015-08-16,29.92
Austria,2015-08-17,40.41
Austria,2015-08-18,37.84
Austria,2015-08-19,39.39
Austria,2015-08-20,36.9
Austria,2015-08-21,32.56
Austria,2015-08-22,26.38
Austria,2015-08-23,16.64
Austria,2015-08-24,30.83
Austria,2015-08-25,26.75
Austria,2015-08-26,28.64
Austria,2015-08-27,31.88
Austria,2015-08-28,41.32
Austria,2015-08-29,29.7
Austria,2015-08-30,26.6
Austria,2015-08-31,35.45
Austria,2015-09-01,39.11
Austria,2015-09-02,37.84
Austria,2015-09-03,40.62
Austria,2015-09-04,32.68
Austria,2015-09-05,17.75
Austria,2015-09-06,2.87
Austria,2015-09-07,33.54
Austria,2015-09-08,35.48
Austria,2015-09-09,34.37
Austria,2015-09-10,33.61
Austria,2015-09-11,34.18
Austria,2015-09-12,29.37
Austria,2015-09-13,26.16
Austria,2015-09-14,33.55
Austria,2015-09-15,28.91
Austria,2015-09-16,33.19
Austria,2015-09-17,28.12
Austria,2015-09-18,37.06
Austria,2015-09-19,29.98
Austria,2015-09-20,22.28
Austria,2015-09-21,36.81
Austria,2015-09-22,33.71
Austria,2015-09-23,42.98
Austria,2015-09-24,31.95
Austria,2015-09-25,35.75
Austria,2015-09-26,32.68
Austria,2015-09-27,25.77
Austria,2015-09-28,34.83
Austria,2015-09-29,34.34
Austria,2015-09-30,37.17
Austria,2015-10-01,39.11
Austria,2015-10-02,37.59
Austria,2015-10-03,28.92
Austria,2015-10-04,31.17
Austria,2015-10-05,39.17
Austria,2015-10-06,37.31
Austria,2015-10-07,40.8
Austria,2015-10-08,47.32
Austria,2015-10-09,44.16
Austria,2015-10-10,32.71
Austria,2015-10-11,22.07
Austria,2015-10-12,35.57
Austria,2015-10-13,42.16
Austria,2015-10-14,44.79
Austria,2015-10-15,39.67
Austria,2015-10-16,47.75
Austria,2015-10-17,40.29
Austria,2015-10-18,37.77
Austria,2015-10-19,50.46
Austria,2015-10-20,48.35
Austria,2015-10-21,41.3
Austria,2015-10-22,37.14
Austria,2015-10-23,38.29
Austria,2015-10-24,32.45
Austria,2015-10-25,33.73
Austria,2015-10-26,39.37
Austria,2015-10-27,40.55
Austria,2015-10-28,42.3
Austria,2015-10-29,49.68
Austria,2015-10-30,43.07
Austria,2015-10-31,35.41
Austria,2015-11-01,31.68
Austria,2015-11-02,40.2
Austria,2015-11-03,41.61
Austria,2015-11-04,42.26
Austria,2015-11-05,43.85
Austria,2015-11-06,36.61
Austria,2015-11-07,27.74
Austria,2015-11-08,21.94
Austria,2015-11-09,28.42
Austria,2015-11-10,29.46
Austria,2015-11-11,35.02
Austria,2015-11-12,36.65
Austria,2015-11-13,31.52
Austria,2015-11-14,21.05
Austria,2015-11-15,23.85
Austria,2015-11-16,30.49
Austria,2015-11-17,30.66
Austria,2015-11-18,20.99
Austria,2015-11-19,25.48
Austria,2015-11-20,38.2
Austria,2015-11-21,29.6
Austria,2015-11-22,25.95
Austria,2015-11-23,49.87
Austria,2015-11-24,35.01
Austria,2015-11-25,41.96
Austria,2015-11-26,51.18
Austria,2015-11-27,36.52
Austria,2015-11-28,26.74
Austria,2015-11-29,11.23
Austria,2015-11-30,25.7
Austria,2015-12-01,35.85
Austria,2015-12-02,36.59
Austria,2015-12-03,42.34
Austria,2015-12-04,30.43
Austria,2015-12-05,23.4
Austria,2015-12-06,18.03
Austria,2015-12-07,40.64
Austria,2015-12-08,34.67
Austria,2015-12-09,34.82
Austria,2015-12-10,29.31
Austria,2015-12-11,26.36
Austria,2015-12-12,25.59
Austria,2015-12-13,27.87
Austria,2015-12-14,41.8
Austria,2015-12-15,42.74
Austria,2015-12-16,36.65
Austria,2015-12-17,32.59
Austria,2015-12-18,32.54
Austria,2015-12-19,26.64
Austria,2015-12-20,17.38
Austria,2015-12-21,23.36
Austria,2015-12-22,18.23
Austria,2015-12-23,20.17
Austria,2015-12-24,16.19
Austria,2015-12-25,13.66
Austria,2015-12-26,6.88
Austria,2015-12-27,16.18
Austria,2015-12-28,30.47
Austria,2015-12-29,31.21
Austria,2015-12-30,26.43
Austria,2015-12-31,22.35
Austria,2016-01-01,24.88
Austria,2016-01-02,17.5
Austria,2016-01-03,14.43
Austria,2016-01-04,27.94
Austria,2016-01-05,33.46
Austria,2016-01-06,33.6
Austria,2016-01-07,32.8
Austria,2016-01-08,27.55
Austria,2016-01-09,28.46
Austria,2016-01-10,20.83
Austria,2016-01-11,33.6
Austria,2016-01-12,29.42
Austria,2016-01-13,29.3
Austria,2016-01-14,33.61
Austria,2016-01-15,35.51
Austria,2016-01-16,28.06
Austria,2016-01-17,27.7
Austria,2016-01-18,39.2
Austria,2016-01-19,47.96
Austria,2016-01-20,48.88
Austria,2016-01-21,52.11
Austria,2016-01-22,33.14
Austria,2016-01-23,28.26
Austria,2016-01-24,26.15
Austria,2016-01-25,28.35
Austria,2016-01-26,25.12
Austria,2016-01-27,19.35
Austria,2016-01-28,26.08
Austria,2016-01-29,22.36
Austria,2016-01-30,11.82
Austria,2016-01-31,12.38
Austria,2016-02-01,20.74
Austria,2016-02-02,16.97
Austria,2016-02-03,23.05
Austria,2016-02-04,26.64
Austria,2016-02-05,27.59
Austria,2016-02-06,15.75
Austria,2016-02-07,9.98
Austria,2016-02-08,12.39
Austria,2016-02-09,17.53
Austria,2016-02-10,24.52
Austria,2016-02-11,25.93
Austria,2016-02-12,28.57
Austria,2016-02-13,22.55
Austria,2016-02-14,15.51
Austria,2016-02-15,24.77
Austria,2016-02-16,32.23
Austria,2016-02-17,26.16
Austria,2016-02-18,27.91
Austria,2016-02-19,27.21
Austria,2016-02-20,13.82
Austria,2016-02-21,8.33
Austria,2016-02-22,20.14
Austria,2016-02-23,24.53
Austria,2016-02-24,24.2
Austria,2016-02-25,27.78
Austria,2016-02-26,28.05
Austria,2016-02-27,22.71
Austria,2016-02-28,18.3
Austria,2016-02-29,24.08
